HUL_DRS_DESCRIPTOR_ORACLE,uri_type_IDS,HUL_DRS_FILE_ORACLE
433094974,urn-3:FHCL:2554035,11899367
433094984,urn-3:FHCL:2623662,12106052
433094988,urn-3:FHCL:2623687,12106054
433094990,urn-3:FHCL:2623689,12106060
433094993,urn-3:FHCL:2623688,12106056
433095022,urn-3:FHCL:4628209,21554940
433095024,urn-3:FHCL:4628210,21554941
433095026,urn-3:FHCL:4628211,21554942
433095028,urn-3:FHCL:4628212,21554943
433095032,urn-3:FHCL:4628213,21554944
433095034,urn-3:FHCL:4628214,21554945
433095037,urn-3:FHCL:4628215,21554946
433095038,urn-3:FHCL:4628216,21554947
433095040,urn-3:FHCL:4628217,21554948
433095042,urn-3:FHCL:4628220,21554951
433095045,urn-3:FHCL:4628219,21554950
433095046,urn-3:FHCL:4628218,21554949
433095322,urn-3:FHCL:9657863,44668192
433095342,urn-3:FHCL:2662298,12452368
433095346,urn-3:FHCL:2662299,12452369
433095350,urn-3:FHCL:2662301,12452371
433095352,urn-3:FHCL:2662300,12452370
433097485,urn-3:FHCL:4646374,22088634
433097487,urn-3:FHCL:4646375,22088635
433097491,urn-3:FHCL:4646376,22088636
433097717,urn-3:FHCL:4723717,22924833
433097723,urn-3:FHCL:4723720,22924836
433097724,urn-3:FHCL:4723719,22924835
433097725,urn-3:FHCL:4723718,22924834
433097727,urn-3:FHCL:4723721,22924837
433097732,urn-3:FHCL:4723722,22924838
433097733,urn-3:FHCL:4723723,22924839
433097795,urn-3:FHCL:4734162,23069559
433103529,,7458524
433103532,,7458526
433103533,,7458528
433103535,,7458530
433103537,,7458534
433103539,,7458532
433104165,urn-3:FHCL:4879992,24374666
433104167,urn-3:FHCL:4879991,24374665
433113519,urn-3:FHCL:10658938,46077586
433113575,urn-3:FHCL:12921257,49500957
433113581,urn-3:FHCL:12921258,49500958
433116143,urn-3:FHCL:14226382,50601846
433116784,urn-3:FHCL:12767426,49362526
433118817,urn-3:FHCL:INDMAP11392196,47358216
433118819,urn-3:FHCL:INDMAP11392190,47358210
433118821,urn-3:FHCL:INDMAP11392193,47358213
433118822,urn-3:FHCL:INDMAP11392192,47358212
433118823,urn-3:FHCL:INDMAP11392195,47358215
433118824,urn-3:FHCL:INDMAP11392197,47358217
433118829,urn-3:FHCL:INDMAP11392198,47358218
433118830,urn-3:FHCL:INDMAP11392194,47358214
433118833,urn-3:FHCL:INDMAP11392199,47358219
433118878,urn-3:FHCL:INDMAP11392191,47358211
433123762,urn-3:FHCL:22838104,52114554
433123778,urn-3:FHCL:22838112,52114562
433123780,urn-3:FHCL:22838108,52114558
433123782,urn-3:FHCL:22838113,52114563
433123784,urn-3:FHCL:22838110,52114560
433123786,urn-3:FHCL:22838105,52114555
433123788,urn-3:FHCL:22838115,52114565
433123794,urn-3:FHCL:22838111,52114561
433123802,urn-3:FHCL:22838109,52114559
433123804,urn-3:FHCL:22838114,52114564
433123812,urn-3:FHCL:22838106,52114556
433123820,urn-3:FHCL:22838107,52114557
433123856,urn-3:FHCL:22838116,52114566
433128766,urn-3:FHCL:27030832,53965062
433128768,urn-3:FHCL:27030833,53965063
433128806,urn-3:FHCL:27030853,53965083
433128808,urn-3:FHCL:27030851,53965081
433128817,urn-3:FHCL:27030849,53965079
433128836,urn-3:FHCL:27030869,53965099
433128925,urn-3:FHCL:27030899,53965129
433129410,urn-3:FHCL:27400641,54018041
482216509,urn-3:FHCL:42065212,482216510
482216512,urn-3:FHCL:42065214,482216513
482216515,urn-3:FHCL:42065216,482216516
482216518,urn-3:FHCL:42065218,482216519
482216521,urn-3:FHCL:42065220,482216522
